10 digit HTS,10 digit HTS Description,APHIS Flag,APHIS Flag Description,APHIS Primary Category Type,Category Code,APHIS Operational Program,Category Code Description,APHIS Secondary Category Type
1604.19.61.00,"Prepared or preserved fish; caviar and caviar substitutes
prepared from fish eggs: Fish, whole or in pieces, but not minced: Other (including yellowtail): Other: Other: In oil and in bulk or in immediate
containers weighing with their contents
over 7 kg each ",AQ1,APHIS Data May Be Required,AP0300 Animal Product,304,VS,"Food containing egg/egg products, and/or milk/milk products",N/A
1604.19.51.00,"FISH STICKS ETC ANY SIZE,FILLETS,IF BREADED W BATTER, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,304,VS,"Food containing egg/egg products, and/or milk/milk products",N/A
1604.19.41.00,"FISH STICKS, FILLETS, BREADED, NOT COOKED NOR IN OIL",AQ1,APHIS Data May Be Required,AP0300 Animal Product,304,VS,"Food containing egg/egg products, and/or milk/milk products",N/A
1604.17.80.00,"Prepared or preserved fish; caviar and caviar substitutes
prepared from fish eggs: Fish, whole or in pieces, but not minced: Eels: Other: Other: Other",AQ1,APHIS Data May Be Required,AP0300 Animal Product,304,VS,"Food containing egg/egg products, and/or milk/milk products",N/A
1604.17.60.00,"Prepared or preserved fish; caviar and caviar substitutes
prepared from fish eggs: Fish, whole or in pieces, but not minced: Eels: Other: Other: In oil and in bulk or in immediate
containers over 7 kg each",AQ1,APHIS Data May Be Required,AP0300 Animal Product,304,VS,"Food containing egg/egg products, and/or milk/milk products",N/A
1604.17.50.00,"FISH STICKS ETC ANY SIZE,FILLETS,IF BREADED W BATTER, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,304,VS,"Food containing egg/egg products, and/or milk/milk products",N/A
1604.17.40.00,"FISH STICKS, FILLETS, BREADED, NOT COOKED NOR IN OIL",AQ1,APHIS Data May Be Required,AP0300 Animal Product,304,VS,"Food containing egg/egg products, and/or milk/milk products",N/A
1603.00.90.90,"Extracts and juices of meat, fish or crustaceans, molluscs or
other aquatic invertebrates: Other: Other",AQ1,APHIS Data May Be Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1603.00.90.10,EXTRACTS AND JUICES OF MEAT,AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.90.91.80,"MEAT,OTHER, INC PREP OF BLOOD OF ANY ANIMAL,NOT CANNED",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.90.91.60,"MEAT, OTHER INC PREPARTIONS OF BLOOD OF ANY ANIMAL,CANNED",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.50.90.40,"PREPARED MEAT, OTHER THAN PREPARED MEALS OF BOVINE ANIMALS",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.50.90.20,"PREPARED MEALS OF BOVINE ANIMALS, OTHER",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.50.60.00,"MEAT, OTHER, NOT IN AIRTIGHT CONTAINERS",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.50.21.40,"MEAT NOT CONT CERL/VEG IN AIRTIGHT CONTAINER,OTHER",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.50.21.20,"BOV MEAT,OTHER,CURED OR PICKLED IN AIRTIGHT CONTS<1 KG W/O CEREAL OR VEGETABL",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.50.08.00,BOVINE MEAT CURED OR PICKLED NOT CONT.CEREALS OR VEGET.,AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.50.07.40,"CORNED BEEF IN AIRTIGHT CONTAINERS, OTHER, NO CEREAL/VEGGIES",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.50.07.20,CORNED BEEF IN AIRTIGHT CONTS HOLDING LESS THAN 1 KG,AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.50.05.00,"OFFAL OF BOVINE ANIMALS,PREPARED OR PRESERVED MEAT",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.49.90.00,"SWINE, OTHER NOT MIXTURES OF PORK AND BEEF",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.49.60.00,"MIXTURES OF PORK AND BEEF, OTHER",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.49.40.00,"SWINE,OTHER, NO CEREAL/VEGETABLES, OTHER",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.49.20.00,"SWINE,OTH NOT CONT.CERALS/VEG,BONE/COOK IN AIRTIGHT CONT.",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.49.10.00,"OFFAL INCLUDING MIXTURES, OF SWINE",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.42.40.00,"SHOULDERS AND CUTS THEREOF, SWINE, OTHER",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.42.20.40,"SHOULDERS SWINE,BONED/COOKED PKED IN AIRTIGHT CONT OTHER",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.42.20.20,"SHOULDERS,SWINE BONED/COOKED AIRTIT CONT HOLD LESS THAN 1 KG",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.41.90.00,"HAMS AND CUTS THEREOF OF SWINE, OTHER",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.41.20.40,"HAMS,BONED & COOKED PACKED IN AIRTIGHT CONTAINERS, OTHER",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.41.20.20,HAMS BONED/COOKED IN AIRTIGHT CONT HOLDING LESS THAN 1 KG.,AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.41.10.00,HAMS & CUTS THEREOF CONTAINING CEREALS OR VEGETABLES,AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.39.00.45,"POULTRY OF HDG 0105, OTHER, NOT PREPARED MEALS",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.39.00.35,"POULTRY OF HEADING 0105,OTHER,PREPARED MEALS,OTHER",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.39.00.15,"POULTRY,OTHER,PREPARED MEALS, IN AIRTIGHT CONTAINERS",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.32.00.40,"POULTRY OF CHICKENS, NOT PREPARED MEALS",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.32.00.30,"POULTRY OF CHICKENS,PREPARED MEALS,NON-AIR TIGHT CONTAINERS",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.32.00.10,"POULTRY OF CHICKENS,PREPARED MEALS,AIRTIGHT CONTAINERS",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.31.00.40,"POULTRY OF TURKEYS,PREPARED OR PRESERVED MEAT, OTHER",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.31.00.20,"POULTRY OF TURKEYS, PREPARED MEALS",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.20.40.00,"MEAT PREPARED OR PRESERVED OF LIVER OF ANY ANIMAL,OTHER",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.20.20.00,"MEAT PREPARED OR PRESERVED, GOOSE LIVER",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.10.50.80,HOMOGENIZED PREPARATIONS OTHER PREPARED OR PRESERVED MEAT;OTHER,AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.10.50.60,HOMOGENIZED PREPARATIONS OTHER PREPARED OR PRESERVED MEAT;CANNED,AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1602.10.10.00,HOMOGENIZED PREPARATIONS OTHER PREPARED OR PRESERVED MEAT,AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1601.00.60.80,"NOT CANNED SAUSAGES AND SIMILAR PRODUCTS, OF MEAT",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1601.00.60.60,"SAUSAGES & SIMILAR PRODUCTS,OF MEAT, OTHER, CANNED",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1601.00.60.20,"SAUSAGES OF MEAT,BEEF NOT IN AIRTIGHT CONTAINERS",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1601.00.40.90,"OTHER, OTHER BEEF IN AIRTIGHT CONTAINERS",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1601.00.40.10,"OTHER, CANNED BEEF IN AIRTIGHT CONTAINERS",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1601.00.20.90,"OTHER, PORK, SAUSAGES AND SIMILAR PRODUCTS OF MEAT",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1601.00.20.10,"CANNED PORK, SAUSAGES AND SIMILAR PRODUCTS OF MEAT",AQ2,APHIS Data Is Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1522.00.00.00,"Degras; residues resulting from the treatment of fatty
substances or animal or vegetable waxes",AQ1,APHIS Data May Be Required,AP0300 Animal Product,399,VS,Other Animal Products and by- products,N/A
1520.00.00.00,"Glycerol, crude; glycerol waters and glycerol lyes",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"305, 306A, 309A, 313, 399",VS,"Animal Consumption Products; Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Animal By-Products for technical use;  Cosmetics; Other Animal Products and by- products",N/A
1518.00.40.00,"ANIM.OR VEG.FATS & OILS,BOILED,OXIDIZED,BLOWN,ETC.OTHER,NSPF",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"301, 305, 399",VS,Edible Meat and poultry: Meat and Meat Products; Animal Consumption Products; Other Animal Products and by-products,N/A
1517.90.60.00,"MARGARINE, FROM DAIRY, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
1517.90.50.00,"MARGARINE, FROM DARIY, US NOTE 10 TO CHPT 4",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
1517.90.45.00,"EDIBLE MIX/PREP OF ANIMAL/VEG FATS/OIL,DAIRY PROD,OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
1517.90.20.80,ARTIFICIAL MIX OF 2 OR MORE OF PROD PROV IN HDG 1501 TO 1515,AQ1,APHIS Data May Be Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1517.90.20.60,"BAKING/FRYING FATS,OTHER, FROM HDG 1501-1515",AQ1,APHIS Data May Be Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1517.90.20.20,"Margarine; edible mixtures or preparations of animal or
vegetable fats or oils or of fractions of different fats or oils of
this chapter, other than edible fats or oils or their fractions of
heading 1516: Other: Artificial mixtures of two or more of the products
provided for in headings 1501 to 1515, inclusive: Other: Salad and cooking oils",AQ1,APHIS Data May Be Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1517.90.10.80,"Margarine; edible mixtures or preparations of animal or
vegetable fats or oils or of fractions of different fats or oils of
this chapter, other than edible fats or oils or their fractions of
heading 1516: Other: Artificial mixtures of two or more of the products
provided for in headings 1501 to 1515, inclusive: Containing 5 percent or more by weight of soybean
oil or any fraction thereof: Other",AQ1,APHIS Data May Be Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1517.90.10.60,"BAKING/FRY FATS,OTHER,CONT>=5% BY WT.OF SOYBEAN OIL",AQ1,APHIS Data May Be Required,AP0300 Animal Product,301,VS,Edible Meat and poultry: Meat and Meat Products,N/A
1516.10.00.00,"ANIMAL FAT/OILS,AND THEIR FRACTIONS CHEMICALLY MODIFIED",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"301, 305, 399",VS,Edible Meat and poultry: Meat and Meat Products; Animal Consumption Products; Other Animal Products and by-products,N/A
1515.90.81.10,"FIXED VEG.FATS & OILS REFINED OR NOT,NOT CHEM MOD,HEMP OIL",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,716,PPQ,Processed fruit and vegetables,N/A
1515.90.21.00,"NUT OILS OTHER FIXED VEGETABLE FATS AND OILS,NOT CHEM MODIFI",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,716,PPQ,Processed fruit and vegetables,N/A
1515.50.00.00,"SESAME OIL AND ITS FRACTIONS, NOT CHEMICALLY MODIFIED",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,716,PPQ,Processed fruit and vegetables,N/A
1515.21.00.00,"CORN (MAIZE) OIL AND ITS FRACTIONS,CRUDE OIL,NT CHEM MODIFID",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,716,PPQ,Processed fruit and vegetables,N/A
1513.11.00.00,"COCONUT CRUDE OIL (COPRA), NOT CHEMICALLY MODIFIED",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,716,PPQ,Processed fruit and vegetables,N/A
1506.00.00.00,"OTHER ANIM.FATS/OILS REFINED OR NOT,BUT NOT CHEM.MODIFIED",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"301, 305, 399",VS,Edible Meat and poultry: Meat and Meat Products; Animal Consumption Products; Other Animal Products and by-products,N/A
1505.00.90.00,WOOL GREASE & FATTY SUBSTANCES DERIVED THEREFROM: OTHER,AQ1,APHIS Data May Be Required,AP0300 Animal Product,"305, 306A, 309A, 399",VS,"Animal Consumption Products; Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Animal By-Products for technical use; Other Animal Products and by- products",N/A
1505.00.10.00,"WOOL GREASE, CRUDE",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"305, 306A, 309A, 399",VS,"Animal Consumption Products; Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Animal By-Products for technical use; Other Animal Products and by- products",N/A
1503.00.00.00,"LARD STEARIN,L.OIL,OLEOST.OLEO-OIL,TALLOW OIL,NOT EMU.OR MIX",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"301, 305, 306A, 313, 399",VS,"Edible Meat and poultry: Meat and Meat Products; Animal Consumption Products; Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Cosmetics; Other Animal Products and by-products",N/A
1502.90.00.00,"FATS OF BOVINE ANIMALS, SHEEP/GOATS,RAW/REND, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"301, 305, 313, 399",VS,Edible Meat and poultry: Meat and Meat Products; Animal Consumption Products; Cosmetics; Other Animal Products and by-products,N/A
1502.10.00.40,"TALLOW, INEDIBLE",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"305, 313, 399",VS,Animal Consumption Products; Cosmetics; Other Animal Products and by-products,N/A
1502.10.00.20,"TALLOW, EDIBLE",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"301, 305, 306A, 313, 399",VS,Edible Meat and poultry: Meat and Meat Products; Animal Consumption Products; Cosmetics; Other Animal Products and by-products,N/A
1501.90.00.00,"LARD;OTH PIG/POULTRY FAT,RENDERED,WHETH/NOT PRESS/SOL-EX,OTH",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"301, 305, 399",VS,Edible Meat and poultry: Meat and Meat Products; Animal Consumption Products; Other Animal Products and by-products,N/A
1501.20.00.80,"LARD; OTHER PIG/POULTRY FAT,RENDERED,WHETHE/NOT PRESS/SOL-EX",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"301, 305, 399",VS,Edible Meat and poultry: Meat and Meat Products; Animal Consumption Products; Other Animal Products and by-products,N/A
1501.20.00.60,"YELLOW GREASE, PIG/POULTRY FAT,RENDERED,WHETH/NOT PRESSED",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"301, 305, 399",VS,Edible Meat and poultry: Meat and Meat Products; Animal Consumption Products; Other Animal Products and by-products,N/A
1501.20.00.40,"CHOICE WHITE GREASE,PIG/POULTRY FAT,RENDERED,WHE/NT PRESSED",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"301, 305, 399",VS,Edible Meat and poultry: Meat and Meat Products; Animal Consumption Products; Other Animal Products and by-products,N/A
1501.10.00.00,"LARD,RENDERED,WHETHER OR NOT PRESSED OR SOLVENT-EXTRACTED",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"301, 305, 399",VS,Edible Meat and poultry: Meat and Meat Products; Animal Consumption Products; Other Animal Products and by-products,N/A
1404.90.90.90,"VEG.MATERIALS OF A KIND USED PRIM. AS STUFFING/PADDING,NSPF",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1404.90.90.40,"VEG.PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED, OTHER",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1404.90.20.00,"Vegetable materials of a kind used primarily in brooms or in brushes (for example, broomcorn piassava, couch grass and istle), whether or not in hanks or bundles: Broomcorn (Sorghum vulgare var. technicum)",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
1404.90.10.00,VEGETABLE HAIR OF A KIND USED PRIM.AS STUFFING OR PADDING,AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1404.20.00.00,"COTTON LINTERS,VEG PROD NOT ELSEWHERE SPECIFIED OR INCLUDED",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,727,PPQ,Cotton,N/A
1401.90.40.00,OTHER: OTHER,AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1401.90.20.00,OTHER: WILLOW (OSIER) ,AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1401.20.40.00,RATTANS: OTHER ,AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1401.20.20.90,RATTANS: IN THE ROUGH OR CUT TRANSVERSELY INTO SECTIONS; OTHER ,AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1401.20.20.10,"RATTANS: IN THE ROUGH OR CUT TRANSVERSELY INTO SECTIONS; IN THE ROUGH, 4 METERS OR MORE IN LENGTH ",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1401.10.00.00,BAMBOOS ,AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
1302.39.00.90,"VEGETABLE SAPS AND EXTRACTS, PECTIC SUBSTANCES, OTHER",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1302.39.00.10,"CARRAGEENAN,VEGETABLE SAPS AND EXTRACTS, PECTIC SUBSTANCES",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1302.19.91.40,VEG.SAPS AND EXTRACTS OTHER NSPF,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1302.19.41.40,"OTHER SUBSTANCES HAVING ANESTH./PROPHY.PROPERTIES,OTHER",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1302.19.41.20,"SUBST HAV ANES,PROPH,THER, GINSENG",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1301.90.91.90,"NATURAL GUMS, RESINS, GUM-RESINS; OTHER NSPF",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1214.90.00.90,"RUTABAGAS (SWEDES),MANGOLDS,FODDER ROOTS,OTHER",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,710,PPQ,"Hay, fodder, silage, stover, and straw",N/A
1214.90.00.30,"CLOVER,OTHER WHETHER OR NOT IN THE FORM OF PELLETS",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,710,PPQ,"Hay, fodder, silage, stover, and straw",N/A
1214.90.00.25,OTHER HAY,AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,710,PPQ,"Hay, fodder, silage, stover, and straw",N/A
1214.90.00.18,TIMOTHY HAY,AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,710,PPQ,"Hay, fodder, silage, stover, and straw",N/A
1214.90.00.10,"HAY: ALFALFA, WHETHER OR NOT DOUBLE COMPRESSED",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,710,PPQ,"Hay, fodder, silage, stover, and straw",N/A
1214.10.00.60,"ALFALFA (LUCERNE) MEAL & PELLETS, OTHER",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,710,PPQ,"Hay, fodder, silage, stover, and straw",N/A
1214.10.00.50,"ALFALFA (LUCERNE) MEAL AND PELLETS, SUN-CURED, OTHER",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,710,PPQ,"Hay, fodder, silage, stover, and straw",N/A
1214.10.00.30,"ALFALFA (LUCERNE) MEAL AND PELLETS, SUN-CURED, CUBES",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,710,PPQ,"Hay, fodder, silage, stover, and straw",N/A
1214.10.00.15,"ALFALFA (LUCERNE) MEAL AND PELLETS, OTHER DEHYDRATED",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,710,PPQ,"Hay, fodder, silage, stover, and straw",N/A
1214.10.00.10,"ALFALFA (LUCERNE) MEAL AND PELLETS, DEHYDRATED CUBES",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,710,PPQ,"Hay, fodder, silage, stover, and straw",N/A
1213.00.00.00,"CEREAL STRAW AND HUSKS, UNPREP.WHETH.OR NOT CHOP/GRD/PRESSED",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,708,PPQ,Grains,N/A
1212.99.92.00,"OTHER VEGETABLE PRODUCTS, NSPF",AQ1,APHIS Data May Be Required,AP0600 Fruits & Vegetables,601 or 602 or 603,PPQ,Above Ground Parts or All Plant Parts or Below Plant Parts,N/A
1212.99.30.00,"OTHER FRUIT STONES & KERNELS, FOR HUMAN CONSUMPTION",AQ1,APHIS Data May Be Required,AP0500 Seeds Not For Planting,501,PPQ,Seeds Not For Planting,N/A
1212.99.20.00,"NECTARINE STONES AND KERNELS, FOR HUMAN CONSUMPTION",AQ1,APHIS Data May Be Required,AP0500 Seeds Not For Planting,501,PPQ,Seeds Not For Planting,N/A
1212.94.00.00,"OTHER VEGETABLE PRODUCTS, CHICORY ROOTS",AQ1,APHIS Data May Be Required,AP0600 Fruits & Vegetables,602 or 603,PPQ,All Plant Parts or Below Plant Parts,N/A
1212.93.00.00,"SUGAR CANE,FRESH OR DRIED,NSPF",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,709,PPQ,Cones,N/A
1212.92.00.00,"OTHER VEGETABLE PRODUCTS, LOCUST BEANS, CAROB",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,718,PPQ,Processed seeds,N/A
1212.91.00.00,"SUGAR BEET,FRESH OR DRIED,GROUND OR NOT,HUMAN CONSUMP.NSPF",AQ1,APHIS Data May Be Required,AP0600 Fruits & Vegetables,603,PPQ,Below Ground Parts,N/A
1211.90.93.00,"PLANT PARTS USED AS MEDICAMENTS NOT SPECIFIALLY PROVIDED FOR/CHILLED,FRZ",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1211.90.89.90,"HERBAL TEAS AND INFUSIONS (SINGLE SPECIES,UNMIXED):OTHER",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1211.90.89.80,"HERBAL TEAS AND INFUSIONS (SINGLE SPECIES,UNMIXED):OTHER",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1211.90.89.50,"SAGE:FRESH/DRIED,WHE/NOT CUT,CRUSHD,POWDERD, AS A MEDICAMENT",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1211.90.89.40,"BASIL:FRESH/DRIED.WHE/NOT CUT/CRUSHD/POWDERD,AS A MEDICAMENT",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1211.90.89.31,PLANT PARTS USED AS MEDICAMENTS NOT SPECIFIALLY PROVIDED FOR,AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
1211.90.89.20,PSYLLIUM SEED HUSKS:USED AS A MEDICAMENT,AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
