10 digit HTS,10 digit HTS Description,APHIS Flag,APHIS Flag Description,APHIS Primary Category Type,Category Code,APHIS Operational Program,Category Code Description,APHIS Secondary Category Type
2932.99.90.10,"HETEROCYCLIC W/OXYGEN:OTHER:GLUCOSAMINE,AND ITS SALTS/ESTERS",AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2930.40.00.00,Organo-sulfur compounds: Thiocarbamates and dithiocarbamates: Methionine,AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2924.29.95.00,"CYCLIC AMIDE:DRUGS- OTHER, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,306A or 306B,VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements OR Pharmaceuticals Ready for Retail Sale for Human Use",N/A
2923.20.20.50,OTHER LECITHINS AND PHOSPHOAMINOLIPIDS; Other,AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",null
2923.20.20.10,OTHER LECITHINS AND PHOSPHOAMINOLIPIDS; Certified organic lecithins,AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",null
2923.20.10.00,"LECITHINS AND OTHER PHOSPHOAMINOLIPIDS,PHARMACEUTICAL GRADE",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2922.49.80.00,"Oxygen-function amino-compounds: Amino-acids, other than those containing more than one
kind of oxygen function, and their esters; salts thereof: Other: Other: Other: Other",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2922.49.60.00,"Oxygen-function amino-compounds: Amino-acids, other than those containing more than one
kind of oxygen function, and their esters; salts thereof: Other: Other: Other: 3-Aminocrotonic acid, methyl ester; and
(R)-?-Amino-1,4-cyclohexadiene-1- acetic
acid",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2922.49.49.50,"Other amino acids, Other",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2922.49.49.15,"Other amino acids, l-Aspartic acid ",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2922.49.49.10,"Other amino acids, Alanine ",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
