Heading,Chapter,Article/Component of Article,Effective Date
9303304030,93,Rimfire rifles valued over $25 but not over $50 each,12/1/2024
9303308010,93,Other autoloading centerfire rifles,12/1/2024
9303308012,93,Other single shot centerfire rifles,12/1/2024
9303308017,93,Other bolt action centerfire rifles,12/1/2024
9303308025,93,Other centerfire rifles,12/1/2024
9303308030,93,Other rimfire rifles,12/1/2024
93039040,93,Pistols and revolvers designed to fire only blank cartridges or blank ammunition,12/1/2024
9303908000,93,Other firearms,12/1/2024
93052005,93,Rifle stocks of shotguns or rifles of heading 9303,12/1/2024
94016120,94,"Upholstered teak chair, household",8/6/2015
940169,94,Seats with wood frames,4/1/2010
94019120,94,Parts of bent-wood seats,8/6/2015
9403304000,94,Bent-wood office furniture,8/6/2015
9403404000,94,Bent-wood kitchen furniture,8/6/2015
9403504000,94,Bent-wood bedroom furniture,8/6/2015
9403604000,94,Other bent-wood furniture,8/6/2015
940131,94,Swivel seats with variable height adjustment of wood,12/1/2024
940152,94,Bamboo seats,12/1/2024
940153,94,Rattan seats,12/1/2024
940159,94,"Other seats of cane, osier, or similar materials",12/1/2024
94016140,94,Other upholstered chairs with wooden frames,12/1/2024
94016160,94,Other upholstered seats with wooden frames,12/1/2024
9401790011,94,Outdoor household seating with textile covered cushions or textile seating or backing material,12/1/2024
9401790015,94,Other outdoor seating with textile covered cushions or textile seating or backing material,12/1/2024
9401790025,94,Outdoor household seating,12/1/2024
9401790035,94,Other outdoor seating,12/1/2024
9401806025,94,Seats for children,12/1/2024
9401806028,94,Other household seating,12/1/2024
94019115,94,Wood parts of seats of a kind used in motor vehicles,12/1/2024
94019190,94,Other wood parts for seats,12/1/2024
94019925,94,"Seat parts of cane, osier, bamboo or similar material",12/1/2024
94033080,94,Wooden furniture of a kind used in offices,12/1/2024
94034060,94,Wooden furniture of a kind used in the kitchen designed for motor vehicle use,12/1/2024
94035060,94,Wooden furniture of a kind used in the bedroom designed for motor vehicle use,12/1/2024
94035090,94,Wooden furniture of a kind used in the bedroom,12/1/2024
94036080,94,Other wooden furniture,12/1/2024
94038200,94,Bamboo furniture,12/1/2024
94038300,94,Rattan furniture,12/1/2024
940389,94,"Other furniture of cane, osier, bamboo or similar materials",12/1/2024
94039100,94,Wood parts for furniture,12/1/2024
94039920,94,"Furniture parts of cane, osier, bamboo or similar materials",12/1/2024
940410,94,Mattress supports,12/1/2024
94051180,94,Light fixtures of other materials,12/1/2024
9405428410,94,Other lighting sets,12/1/2024
9406100000,94,Prefabricated buildings made of wood,12/1/2024
950420,95,Articles and accessories for billiards,4/1/2010
9504300020,95,Pinball machines and bell-type machines and consoles,12/1/2024
9504300040,95,"Other games, operated by coins, banknotes, bank cards, tokens, or by any other means of payment, other than automatic bowling alley equipment",12/1/2024
9504300060,95,"Parts and accessories of other games, operated by coins, banknotes, bank cards, tokens, or by any other means of payment, other than automatic bowling alley equipment",12/1/2024
9504904000,95,"Game machines, other than those operated by coins, banknotes (paper currency), discs or similar articles; parts and accessories thereof",12/1/2024
95049060,95,"Chess, checkers, parchisi, backgammon, darts and other games played on boards of a special design, all the foregoing games and parts there of (including their boards); mahjong and dominoes; any of The foregoing games in combination with each other, or with other games, packaged together as a unit in immediate containers of a type used in retail sales; poker chips and dice",12/1/2024
9504909060,95,Bowling equipment and parts and accessories thereof,12/1/2024
95051015,95,Christmas ornaments of wood,12/1/2024
95051030,95,Nativity scenes and figures thereof,12/1/2024
