htsCode,description,species,program
0305.32.0090,"Dried, Salted, or Brined NSPF Fish Fillets from the families Bregmacerotidae, Euclichthyidae Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",NSPF Fish,SIMP
0305.39.6180,"Dried, Salted, or Brined NSPF Fish Fillets",NSPF Fish,"SIMP, TTVP"
0305.49.4045,Smoked NSPF Fish or Fish Fillets,NSPF Fish,"SIMP, TTVP"
0305.53.0000,"Dried NSPF Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae,Melanonidae, Merlucciidae, Moridae and Muraenolepididae; Not Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",NSPF Fish,SIMP
0305.59.0001,Dried NSPF Fish  ,NSPF Fish,"SIMP, TTVP"
0305.69.5001,Salted or in Brine NSPF Fish; In immediate containers weighing with their contents 6.8 kg or less each,NSPF Fish,SIMP
0305.69.6001,Salted or in Brine NSPF Fish; Not in immediate containers weighing with their contents 6.8 kg or less each,NSPF Fish,SIMP
0305.72.0000,"Dried, Salted, in Brine, or Smoked NSPF Fish heads, tails and maws",NSPF Fish,SIMP
0305.79.0000,"Dried, Salted, in Brine, or Smoked NSPF Fish fins and other edible fish offal",NSPF Fish,SIMP
0309.10.0500,"Flours, meals and pellets of NSPF Fish; In bulk or in immediate containers weighing with their contents over 6.8 kg each",NSPF Fish,SIMP
0309.10.9000,"Flours, meals and pellets of NSPF Fish; Not in bulk or in immediate containers weighing with their contents over 6.8 kg each",NSPF Fish,SIMP
0511.91.0090,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; unfit for human consumption",NSPF Fish,TTVP
1604.19.2200,Prepared or preserved NSPF Fish; In airtight containers; Not in oil,NSPF Fish,"SIMP, TTVP"
1604.19.3200,Prepared or preserved NSPF Fish; In airtight containers; In oil,NSPF Fish,SIMP
1604.19.4100,"Fish sticks and similar products of NSPF Fish, of any size or shape, fillets or other portions of fish, if breaded, coated with batter or similarly prepared: Neither cooked nor in oil",NSPF Fish,SIMP
1604.19.5100,"Fish sticks and similar products of NSPF Fish, of any size or shape, fillets or other portions of fish, if breaded, coated with batter or similarly prepared",NSPF Fish,SIMP
1604.19.6100,Prepared or Preserved NSPF Fish; In oil and in bulk or in immediate containers weighing with their contents over 7 kg each,NSPF Fish,SIMP
1604.19.8200,Prepared or Preserved NSPF Fish,NSPF Fish,SIMP
1604.20.1000,Pastes of prepared or preserved NSPF Fish,NSPF Fish,"SIMP, TTVP"
1604.20.1500,"Balls, cakes and puddings of prepared or preserved NSPF Fish; In oil",NSPF Fish,"SIMP, TTVP"
1604.20.2000,"Balls, cakes and puddings of NSPF Fish; Not in oil; In immediate containers weighing with their contents not over 6.8 kg each; In airtight containers",NSPF Fish,"SIMP, TTVP"
1604.20.2500,"Balls, cakes and puddings of NSPF Fish; Not in oil; In immediate containers weighing with their contents not over 6.8 kg each; Not in airtight containers",NSPF Fish,"SIMP, TTVP"
1604.20.3000,"Balls, cakes and puddings of NSPF Fish; Not in oil; Not in immediate containers weighing with their contents not over 6.8 kg each; Not in airtight containers",NSPF Fish,"SIMP, TTVP"
1604.20.5010,"Fish sticks and similar products of NSPF Fish, of any size or shape, if breaded, coated with batter or similarly prepared; Pre-cooked and frozen",NSPF Fish,SIMP
1604.20.5090,"Fish sticks and similar products of NSPF Fish, of any size or shape, if breaded, coated with batter or similarly prepared",NSPF Fish,SIMP
1604.20.6010,Pre-cooked and Frozen NSPF Fish,NSPF Fish,SIMP
1604.20.6090,Other prepared or preserved NSPF fish,NSPF Fish,"SIMP, TTVP"
1604.20.0510,"Prepared meals of NSPF Fish containing meat of crustaceans, molluscs or other aquatic invertebrates","NSPF Fish, Invertebrate & Molluscs","SIMP, TTVP"
